id	displayName	birthName	birthDate	birthLocation	heightCm	primaryProfessions	primaryImageUrl	biography
nm4712424	Kawita Sareen					actress|director|producer		Kawita Sareen is known for 50 Kisses (2014), Unfinished Business (2014) and Romantic Hideaway (2012).
nm0110293	Gaëtan Brizzi		1951-12-24	Paris, France		animation_department|art_department|director	https://m.media-amazon.com/images/M/MV5BODcxNzIxMDE1MF5BMl5BanBnXkFtZTgwNTkxMzI4MTE@._V1_.jpg	Gaëtan Brizzi was born on 24 December 1951 in Paris, France. He is a director, known for The Hunchback of Notre Dame (1996), Fantasia 2000 (1999) and 9 (2009).
nm2027066	Theo Davies				193	director|producer|writer	https://m.media-amazon.com/images/M/MV5BYzQwY2QxNzQtZTI4MS00ZjA2LTgzYWEtNTkyOGVlODkzNWRhXkEyXkFqcGc@._V1_.jpg	Theo Davies was born in Tunbridge Wells, in England and was educated at Holmewood House and Tonbridge School, before graduating from the University of Reading with a degree in English, Film and Drama. Davies also attended the New York Film Academy and relocated to California in 2009, where he lives with his wife and two sons.  In 2012, he directed the micro-budget independent film, '5 Hour Friends'. The film won multiple awards and was distributed domestically by Gravitas Ventures and by Paramount Pictures worldwide.  In 2017, he wrote, directed and co-produced 'Wish Man' - a biopic about Frank Shankwitz, the founding father of the 'Make-A-Wish' Foundation. In June 2019, 'Wish Man' was released theatrically in select theaters in North America, and across all other streaming/VOD platforms in September, and Netflix in December.  He has just completed writing the pilot episode for a 6-part limited series for television, with two feature films in the works. He is also the founder of the Southern California Screenplay Competition.
nm0263912	Hanns Heinz Ewers	Hans Heinrich Ewers	1871-11-03	Düsseldorf, Germany		actor|director|writer		"Hanns Heinz Ewers (born November 3, 1871 in Düsseldorf, Germany) was a German writer famous for his short stories and novels that expanded the parameters of the horror genre. He began his literary career as a poet when he published ""A Book of Fables"", satirical verses, in 1901. In addition to writing, he was an actor and created a vaudeville theater the same year he made his literary debut. He also founded another acting company that toured Central and Eastern Europe, but he abandoned the theater due to censorship.  It was his stories about the occult and horror that made his name. His first novel ""The Sorcerer's Apprentice"" was published in 1910 and his masterpiece, ""Alarune"", in 1911. The two novels were part of a trilogy based on the autobiographical character of Frank Braun, who also appears in the 1921 novel ""Vampyr"".  Ewers was deeply attracted to the philosophy of Friedrich Nietzsche, and the Nietzschean philosophy of the ""intellectuals"" of the Nationalsozialistische Deutsche Arbeiterpartei, as well as their nationalism (to say nothing of their mysticism) attracted him to the Nazi Party, though he never joined it. Though he wrote a novel based on the life of Nazi martyr Horst Wessel, allegedly at the bequest of Adolf Hitler, his works were banned by the Nazis in 1934.  A penniless Hanns Heinz Ewers died from tuberculosis on June 12, 1943 in Berlin. He was 72 years old."
nm2815858	Zachary Edgerton					actor|cinematographer|editor		Zachary Edgerton is known for Legacy (2012), 60 Seconds to Di3 (2021) and 2 Die For (2018).
nm0460127	André Klotzel		1954	São Paulo, São Paulo, Brazil		director|producer|writer	https://m.media-amazon.com/images/M/MV5BMzRmZTlmY2UtNTMyMS00MDE2LTljMjktOTc0NGIyMWNlZGE0XkEyXkFqcGc@._V1_.jpg	André Klotzel studied film at the University of São Paulo in the 1970s. While still a student, he directed his first short films and began his professional career on feature films, working as an assistant in production, editing, and cinematography. After graduation, he continued as an assistant director-including two years with Nelson Pereira dos Santos-and also worked as a production coordinator on commercials, as well as on documentaries and shorts. His debut feature as writer and director, A Marvada Carne (1985), was selected for Cannes Critics' Week and won several awards in Brazil. The film was both a critical success and a commercial hit, and went on to screen in ten other countries. Klotzel later co-founded a production company with three colleagues, dedicating himself to producing films within the company, directing shorts and TV films for others, and developing his own projects. His second feature, Capitalismo Selvagem, was produced during a crisis in Brazilian cinema with support from ZDF (Das kleine Fernsehspiel) and Fonds Sud (France). His third feature, Memórias Póstumas, adapted from a classic Brazilian novel, was a period film he produced, wrote, directed, and edited. It screened in Berlin's Panorama section and at other international festivals, earning wide critical acclaim in Brazil, several awards, and a strong theatrical run.
nm0849011	Kinuyo Tanaka		1909-11-29	Yamaguchi, Japan		actress|director|soundtrack	https://m.media-amazon.com/images/M/MV5BMjE1NTQ3NTA5MV5BMl5BanBnXkFtZTgwMjQyMTMyMjE@._V1_.jpg	Tanaka Kinuyo was a highly regarded and prolific actress best known for her films with director Mizoguchi Kenji. She was immersed in the world of film having received her start in the world of entertainment at age fourteen, being a filmmaker herself, being the cousin of director Kobayashi Masaki and, very much like Hara Setsuko and Ozu Yasujiro, being anecdotally romantically linked with the aforementioned Mizoguchi. The director would later recommend against her being hired as a director, which caused a rift between the two. She received her first known credit in Shochiku's Genroku Onna in 1924. She stayed to become the studio's biggest actress, and a paradigm of beauty, until approximately 1949 when she travelled to the United States Of America as an ambassador of Japanese culture. Upon her return from the US the Japanese detected a change of attitude in her, as well as noting a new short hairdo, which momentarily lead to some criticism. She had married director Shimizu Hiroshi, with whom she had worked, in 1929. Sources claim this was a mere cohabitation however. The marriage lasted a matter of months, but the two worked together beyond their romantic union. She married another one of her directors Gosho Heinosuke, but not before also starring in several Ozu films. It looked like films like Aizen Katsu and Naniwa Onna would be the height of her fame with all their popularity, but post-war films like Life Of Oharu, Sansho The Bailiff and Ugetsu were even bigger classics and immortalized the actress. Another of her many other noteworthy performances was in The Ballad Of Narayama based on a tradition and folklore of Japan. As if to complete her tour de force of Japanese cinema she directed several films and even worked with Kurosawa Akira in Red Beard. She died of a brain tumor in 1977.
nm1426188	Mohsen Tanabandeh		1975-04-15	Tehran, Iran	173	actor|art_director|writer	https://m.media-amazon.com/images/M/MV5BYjdjYmMxMWYtN2YzMy00NDJiLWEzODItNjk3ZWFlODAyNGYxXkEyXkFqcGc@._V1_.jpg	Mohsen Tanabandeh is an Iranian actor, director and screenwriter. In 2022, he won the Orizzonti Award for Best Actor at the 79th Venice International Film Festival for his performance in World War III (2022). He has received various accolades, including three Crystal Simorgh and four Hafez Awards.  Tanabandeh is famous for playing the role of Naghi Mamoli in the television series The Capital (2011-2020). He was the creator and head writer of this series and won three Hafez Awards for his performance and screenplay.  Tanabandeh has studied acting at University of Art and Architecture. He began theater acting in 1992 and appeared in his first cinematic movie in 2001.
nm3942723	Jason Mac				188	actor|producer|writer		Jason Mac is known for A Father's Legacy (2020), People Not Humans (2013) and The Last Day (2018).
nm0478172	Karsten Kiilerich		1955-01-21	Slagelse, Denmark		animation_department|director|writer		Karsten Kiilerich was born on 21 January 1955 in Slagelse, Denmark. He is a director and writer, known for The Ugly Duckling and Me! (2006), Albert (2015) and Raggie (2020).
nm3094978	Srdjan Spasojevic		1976	Belgrade, Serbia, Yugoslavia		director|producer|writer		Srdjan Spasojevic was born in 1976 in Belgrade, Serbia, Yugoslavia. He is a director and writer, known for A Serbian Film (2010), The ABCs of Death (2012) and Whereout.
nm0001415	Elia Kazan	Elias Kazancioglu	1909-09-07	Istanbul, Ottoman Empire	173	director|producer|writer	https://m.media-amazon.com/images/M/MV5BMjI0OTg0NTk0N15BMl5BanBnXkFtZTgwMTQyOTE3MDI@._V1_.jpg	"Known for his creative stage direction, Elia Kazan was born Elias Kazantzoglou on September 7, 1909 in Constantinople, Ottoman Empire (now Istanbul, Turkey). Noted for drawing out the best dramatic performances from his actors, he directed 21 actors to Oscar nominations, resulting in nine wins. He directed a string of successful films, including A Streetcar Named Desire (1951), On the Waterfront (1954), and East of Eden (1955). During his career, he won two Oscars as Best Director and received an Honorary Oscar, won three Tony Awards, and four Golden Globe Awards.  His films were concerned with personal or social issues of special concern to him. Kazan writes, ""I don't move unless I have some empathy with the basic theme."" His first such ""issue"" film was Gentleman's Agreement (1947), with Gregory Peck, which dealt with anti-Semitism in America. It received 8 Oscar nominations and three wins, including Kazan's first for Best Director. It was followed by Pinky (1949), one of the first films in mainstream Hollywood to address racial prejudice against black people. A Streetcar Named Desire (1951), an adaptation of the stage play which he had also directed, received 12 Oscar nominations, winning four, and was Marlon Brando's breakthrough role. In 1954, he directed On the Waterfront (1954), a film about union corruption on the New York harbor waterfront. In 1955, he directed John Steinbeck's East of Eden (1955), which introduced James Dean to movie audiences.  A turning point in Kazan's career came with his testimony as a witness before the House Committee on Un-American Activities in 1952 at the time of the Hollywood blacklist, which brought him strong negative reactions from many liberal friends and colleagues. His testimony helped end the careers of former acting colleagues Morris Carnovsky and Art Smith, along with ending the work of playwright Clifford Odets. Kazan later justified his act by saying he took ""only the more tolerable of two alternatives that were either way painful and wrong."" Nearly a half-century later, his anti-Communist testimony continued to cause controversy. When Kazan was awarded an honorary Oscar in 1999, dozens of actors chose not to applaud as 250 demonstrators picketed the event.  Kazan influenced the films of the 1950s and 1960s with his provocative, issue-driven subjects. Director Stanley Kubrick called him, ""without question, the best director we have in America, and capable of performing miracles with the actors he uses."" On September 28, 2003, Elia Kazan died at age 94 of natural causes at his apartment in Manhattan, New York City. Martin Scorsese co-directed the documentary film A Letter to Elia (2010) as a personal tribute to Kazan."
nm0544055	Henriette Mantel		1954-10-20	Vermont, USA		actress|producer|writer	https://m.media-amazon.com/images/M/MV5BMTI4Njc3MTU5NF5BMl5BanBnXkFtZTYwMDI5ODc1._V1_.jpg	Henriette Mantel was born on 20 October 1958 in Vermont, USA. She is a producer and writer, known for The Brady Bunch Movie (1995), A Very Brady Sequel (1996) and Sex and the City (2008).
nm0412999	Dariusz Jablonski		1961-05-30	Warsaw, Mazowieckie, Poland		assistant_director|director|producer	https://m.media-amazon.com/images/M/MV5BNjc4MjA4MjQtM2VmOC00NzM0LWJmMzMtOTliY2QzOWYxYWViXkEyXkFqcGc@._V1_.jpg	One of the first independent producers in Eastern Europe. He is a director, scriptwriter, producer and founder and CEO of Apple Film Production, a leading Polish production company, renowned for its features, documentaries and drama series, as well as for its successful collaborations with international partners.  Since 1990 he has produced and co-produced over 30 features, plus a similar quantity of full length documentaries and drama series, in cooperation with most European countries, as well as the US and Canada, gaining over 300 international and national awards.  He is president of the Polish Film Academy, Vice-President of the European Producers' Club, and a member of the European Film Academy. In 2004 he created ScripTeast, the screenwriting program for the best Eastern European scriptwriters.  Recently he directed THE PLEASURE PRINCIPLE produced by Apple Film, the first ever high-end international co-production drama series originated and shot in Eastern Europe, in co-production with Canal+ (Poland), Czech Television and Star Media (Ukraine).
nm8088562	Lloyd Staszkiewicz					director		Lloyd Staszkiewicz is known for ABCs of Death 2.5 (2016).
nm2913570	Diana Lafyatis	Diana Elaine Lafyatis	1983-04-14			art_department|director|writer		Diana Lafyatis was born on 14 April 1983. She is a director and writer, known for Fish Hooks (2010), Harvey Beaks (2015) and Adventure Time (2010).
nm2423397	Elizabeth Ito	Elizabeth Kiku Ito	1979-06-23	Los Angeles, California, USA		art_department|director|writer	https://m.media-amazon.com/images/M/MV5BZDkxOTllM2ItZmYyNS00OWJkLTllMTEtMWJhOTA3NTg3ZDFhXkEyXkFqcGc@._V1_.jpg	Elizabeth Ito was born on 23 June 1979 in Los Angeles, California, USA. She is a director and writer, known for City of Ghosts (2021), Adventure Time (2010) and Astro Boy (2009).
nm0001162	Griffin Dunne	Thomas Griffin Dunne	1955-06-08	New York City, New York, USA	170	actor|director|producer	https://m.media-amazon.com/images/M/MV5BNmNhZWM4MTAtZDFhMS00NmNmLWI4OGEtYWE4ZDc2YTMyOTc4XkEyXkFqcGc@._V1_.jpg	Griffin Dunne was born on June 8, 1955 in New York City, the oldest child of Dominick Dunne, a producer, actor, and writer, and Ellen Beatriz (Griffin) Dunne, an activist. His sister was actress Dominique Dunne. He grew up mainly in Los Angeles, California and attended school in Colorado before moving back to New York in the late 1970s. As an actor, Dunne has the distinction of having starred in two 1980s cult favorites. First came the John Landis monster movie An American Werewolf in London (1981), then the Martin Scorsese black comedy After Hours (1985). After Hours is also among the movies that Dunne has produced with partner Amy Robinson through their company Double Play Productions. Other Double Play productions include Running on Empty (1988), White Palace (1990) and Once Around (1991). Dunne has continued to appear on both sides of the camera, taking supporting roles as an actor in films like My Girl (1991) and I Like It Like That (1994). He made his directorial debut with a short film, Duke of Groove (1995), which was nominated for an Oscar.  Dunne then made the leap to feature films with Addicted to Love (1997), Practical Magic (1998), Lisa Picard Is Famous (2000) and Fierce People (2005). Dunne produced and starred in the film Game 6 (2005), which premiered at the Sundance Film Festival in 2005.  Griffin's ancestry is Irish (from his father) and Irish, English, German, Mexican, and Swedish (from his mother).
nm1685252	Ramana					actor|director|writer		Ramana is known for Sullan (2004), Thirumalai (2003) and Aathi (2006).
nm0003572	William Olsen		1950-12-17	Hickory, North Carolina, USA		camera_department|director|producer		William Olsen was born on 17 December 1950 in Hickory, North Carolina, USA. He was a director and producer, known for Rockin' Road Trip (1986), Southern Belles (1997) and Getting It On (1983). He died on 1 January 2019 in Hickory, North Carolina, USA.
nm0773985	Rick Calabash					animation_department|art_department|director		Rick Calabash began his career as a teenager, designing sets for Mister Rogers' Neighborhood (1968).  He went on to work with animation legends William Hanna and Joseph Barbera, developing content for their most famous characters: Tom & Jerry, The Flintstones, The Jetsons and Scooby-Doo.  When media giant Ted Turner acquired Hanna-Barbera Studios, Calabash was teamed with music superstar Michael Jackson, with whom he developed feature films and television projects for Turner Pictures.  Calabash served as a Writer and Musical Sequence Director on Turner Pictures' Annie Award-winning animated feature, Cats Don't Dance (1997). The film was choreographed by acclaimed actor/dancer Gene Kelly and starred Scott Bakula and Hal Holbrook with songs by Randy Newman and Natalie Cole.  Calabash next joined Walt Disney Studios where he earned two Emmy nominations and won a Golden Reel Award and an Angel Award for Excellence in Media for producing and directing the animated series 101 Dalmatians: The Series (1997).  Calabash then worked with Studio Chairman Roy Edward Disney as a writer and director on the Emmy Award-winning series, House of Mouse (2001), featuring James Woods and John Cleese.  After five years working with Disney's classic characters, Calabash was sought by Walt Disney Imagineering to serve as a Creative Consultant on the 3D musical featurette, Mickey's PhilharMagic (2003). This unique multi-media attraction premiered on the largest screen in the world at Walt Disney World, followed by installations at Hong Kong Disneyland, Tokyo Disneyland, Disneyland Paris and Disney's California Adventure.  Calabash next joined forces with The Zanuck Company where he worked with award-winning producers Richard D. Zanuck and Dean Zanuck developing family content with Johnny Depp's Infinitum Nihil and Warner Bros. Pictures.  Calabash then teamed with Dean Zanuck to form Zanuck Family Entertainment, where Calabash continues to oversee development and production on a slate of multi-platform content. The first to go into production was Little Ludwig, a 3D animated rock opera, with Warner Bros. Pictures. Currently in pre-production at ZFE is The Rise and Fall of Arbogast J. Hogg, an innovative multi-platform venture encompassing movies, books, apps and other digitally integrated products.
nm15432988	Rahul Kamboj					director		Rahul Kamboj is known for Irada (2017), Guns of Banaras (2020) and Ajeeb Daastaans (2021).
nm3293356	Elad Keidan					director|producer|writer		Elad Keidan is an Israeli film maker, writer and director. A graduate of the Sam Spiegel film school in Jerusalem, Elad continues to study arts and film at the Tel-Aviv University. In addition to making films, his experience includes TV work, academic writing and teaching. His short films were screened worldwide, amongst them Anthem which won the Cinéfondation 1st prize at Cannes 2008, a unique accomplishment for an Israeli short film. Afterthought is his debut feature. Born in Haifa, Elad is a father of two.
nm0614130	Brianne Murphy	Geraldine Brianne Murphy	1933-04-01	London, England, UK		cinematographer|director|script_department		"London-born of Irish parents, Geraldine Brianne Murphy was educated in English and American schools before she set her sights on an acting career and attended the Neighborhood Playhouse in New York City.  In order to become ""more American,"" she worked as a trick rider with a rodeo for a season, and later ""crashed"" the Ringling Brothers and Barnum & Bailey Circus at Madison Square Garden on opening night, in 1954, performing the entire evening as a clown. The resulting publicity helped her land a job as a still photographer with the traveling circus and eventually led to her arrival in Hollywood, where she began working with low-budget filmmakers Jerry Warren and Ralph Brooke (both of whom she married).  She was the first-ever woman director of photography on a major studio, union picture (Fatso (1980)) and has had several Emmy nominations (and one win) for cinematography. She also won a 1982 ""Scientific and Engineering"" Academy Award."
nm0150749	Eric Champnella	Frederic Eugene Champnella		Michigan, USA		actor|director|writer	https://m.media-amazon.com/images/M/MV5BMjIxMTE1MDMyMl5BMl5BanBnXkFtZTcwMjg4MTU1NA@@._V1_.jpg	Eric Champnella was born in Michigan, USA. He is a writer and actor, known for Alex & Me (2018), Mr. 3000 (2004) and Thunderstruck (2012).
nm0261528	Luis Esteban					director|producer|writer	https://m.media-amazon.com/images/M/MV5BMTYzMDEwODU1OF5BMl5BanBnXkFtZTgwMjUyMTg0MDE@._V1_.jpg	Luis Esteban is known for Fade, Alpha Dog (2006) and Soul Plane (2004).
nm0139036	Ana Carolina	Ana Carolina Teixeira Soares	1943-09-27	São Paulo, Brazil		director|producer|writer	https://m.media-amazon.com/images/M/MV5BYzhhYjk2MjUtYTk4ZC00MjQ0LThjMGQtMmY4OTE3NzhiNjNkXkEyXkFqcGc@._V1_.jpg	Ana Carolina was born on 27 September 1943 in São Paulo, Brazil. She is a director and writer, known for Sea of Roses (1978), Paixões Recorrentes (2022) and Das Tripas Coração (1982).
nm2756180	George D. Escobar					director|producer|writer		George D. Escobar is known for Alone Yet Not Alone (2013), Come What May (2009) and The Farmer and the Belle: Saving Santaland (2020).
nm1729104	Bruno Forzani		1976	Menton, Alpes-Maritimes, France		director|producer|writer	https://m.media-amazon.com/images/M/MV5BOTdiODRmY2MtNDJmNi00MjRlLTg0YmUtZWQzMWM2ZmRiNzA5XkEyXkFqcGc@._V1_.jpg	Bruno Forzani was born in 1976 in Menton, Alpes-Maritimes, France. He is a director and writer, known for Amer (2009), The Strange Color of Your Body's Tears (2013) and Let the Corpses Tan (2017).
nm1818500	Calum Waddell			Fife, Scotland, UK		director|producer|writer	https://m.media-amazon.com/images/M/MV5BMjk2NzQwMjItMGYxYy00MmMxLWJiYmItYzAzODNmNDZlMjgyXkEyXkFqcGc@._V1_.jpg	Calum Waddell was born in Fife, Scotland, UK. He is known for 42nd Street Memories: The Rise and Fall of America's Most Notorious Street (2015), Eaten Alive! The Rise and Fall of the Italian Cannibal Film (2015) and Scream Queens: Horror Heroines Exposed (2014).
nm0932302	Dave Willis	David Christopher Willis	1970-05-01	Wichita Falls, Texas, USA	197	actor|producer|writer	https://m.media-amazon.com/images/M/MV5BMTI1NDkwODE5NV5BMl5BanBnXkFtZTYwODU0NzU1._V1_.jpg	Dave Willis is an American writer, voice actor, and producer. A native of Texas, he got his start at Cartoon Network's Williams Street in 1995, where he would gain a writing jobs on Space Ghost Coast to Coast (1993) and its spin-off series Cartoon Planet (1997). Alongside fellow SGC2C writer Matt Maiellaro, Willis also co-created the series Aqua Teen Hunger Force (2000) for the network's Adult Swim block, in which he also voices the characters Meatwad and Carl Brutananadilewski. His other work includes co-creating the series Squidbillies (2005) and Your Pretty Face Is Going to Hell (2013), in addition to voice acting roles in 12 oz. Mouse (2005), Archer (2009), and Ballmastrz 9009 (2018).
nm2965276	Devin Crittenden					actor|writer	https://m.media-amazon.com/images/M/MV5BOTNjOWY3MTctMjMxZC00NjYyLTgzNjUtODIzM2FkNzRkNWVkXkEyXkFqcGc@._V1_.jpg	Devin Crittenden is known for Better Things (2016), Arranged Love (2023) and Chasing Mavericks (2012).
nm6750289	Maria Torres	María Torres Camacho		Mexico City, Distrito Federal, Mexico		director|producer|writer	https://m.media-amazon.com/images/M/MV5BYTk5NTE0YmMtODI2Ny00NGQ2LTkyY2UtMWNhNDUyNGJlZDMwXkEyXkFqcGc@._V1_CR283,488,748,1122_.jpg	María Torres is a screenwriter and director from Mexico City. She is known for writing and directing Anonymously Yours, for which she received an International Emmy nomination. Previously, she wrote and directed the feature film This is Tomás. She has collaborated as writer with Enrique Vázquez on several films, including Firma Aquí and Mamá o Papá, both released in 2023.
nm0316539	Cedric Gibbons	Austin Cedric Gibbons	1890-03-23	New York City	183	art_department|art_director|set_decorator	https://m.media-amazon.com/images/M/MV5BMTE4YmMxYmMtNWU3NS00Yjg1LWJlYWEtYjliN2I0OTA4MGNjXkEyXkFqcGc@._V1_.jpg	After graduating from New York's Art Students League he worked for his architect father, then started film work at Edison Studios in 1915 assisting Hugo Ballin. In 1918 he moved to Goldwyn as art director and, in 1924, began his 32 year stint as supervising art director for some 1500 MGM films, with direct responsibility in well over 150 of those. He designed the Oscar itself, winning it 11 of the 37 times he was nominated for it. Some of his designs influenced American interiors, and it has been argued that he was the most important art director in the history of American cinema.
nm4919356	Ashley Joiner					director|editor		Ashley Joiner is known for Are You Proud? (2019), Pride (2017) and Gravitation in C Minor (2011).
nm3486401	Paul Gerrard					art_department|producer|production_designer	https://m.media-amazon.com/images/M/MV5BMWY5ZGExZDItYjdiNi00ODJiLTgyM2MtMTU4YTA2YTdjYjNiXkEyXkFqcGc@._V1_.jpg	"'Paul Gerrard is a conceptual visionary who consistently produces work of mind bending originality.' Miles Millar / Showrunner : The Shannara Chronicles  ""if you can imagine taking the nightmares of Giger and the dystopian scope of Beksinski one step further , then you can imagine the work of Paul Gerrard"" Jonathan Liebesman : Film Director"
nm0524900	Dariela Ludlow Deloya		1976-06-22	Mexico		camera_department|cinematographer|director		Dariela Ludlow Deloya was born on 22 June 1976 in Mexico. Dariela is a cinematographer and director, known for Un día menos (2009), She Was Dania (2016) and Bandidas (2006).
